# x  y  z  value
-0.0366117 0.0366117 0 -2.68888
0 0.0366117 0 -2.76689
-0.0366117 0.0732233 0 -2.47705
0 0.0732233 0 -2.54408
-0.109835 0.109835 0 -1.83353
-0.0732233 0.109835 0 -2.03936
-0.109835 0.146447 0 -1.60428
-0.0732233 0.146447 0 -1.76131
-0.0366117 0.109835 0 -2.185
0 0.109835 0 -2.23793
-0.0366117 0.146447 0 -1.8704
0 0.146447 0 -1.90966
-0.256282 0.183058 0 -0.844904
-0.21967 0.183058 0 -0.968978
-0.256282 0.21967 0 -0.761492
-0.21967 0.21967 0 -0.862306
-0.183058 0.183058 0 -1.10414
-0.146447 0.183058 0 -1.24466
-0.183058 0.21967 0 -0.968978
-0.146447 0.21967 0 -1.07655
-0.256282 0.256282 0 -0.680619
-0.21967 0.256282 0 -0.761492
-0.256282 0.292893 0 -0.604611
-0.21967 0.292893 0 -0.669136
-0.183058 0.256282 0 -0.844904
-0.146447 0.256282 0 -0.926732
-0.183058 0.292893 0 -0.734199
-0.146447 0.292893 0 -0.796527
-0.109835 0.183058 0 -1.38016
-0.0732233 0.183058 0 -1.49571
-0.109835 0.21967 0 -1.17724
-0.0732233 0.21967 0 -1.2609
-0.0366117 0.183058 0 -1.57442
0 0.183058 0 -1.60245
-0.0366117 0.21967 0 -1.31679
0 0.21967 0 -1.33649
-0.109835 0.256282 0 -1.0013
-0.0732233 0.256282 0 -1.0618
-0.109835 0.292893 0 -0.852032
-0.0732233 0.292893 0 -0.896164
-0.0366117 0.256282 0 -1.1015
0 0.256282 0 -1.11536
-0.0366117 0.292893 0 -0.924635
0 0.292893 0 -0.934325
0.0366117 0.0366117 0 -2.68888
0.0732233 0.0366117 0 -2.47705
0.0366117 0.0732233 0 -2.47705
0.0732233 0.0732233 0 -2.29409
0.109835 0.0366117 0 -2.185
0.146447 0.0366117 0 -1.8704
0.109835 0.0732233 0 -2.03936
0.146447 0.0732233 0 -1.76131
0.0366117 0.109835 0 -2.185
0.0732233 0.109835 0 -2.03936
0.0366117 0.146447 0 -1.8704
0.0732233 0.146447 0 -1.76131
0.109835 0.109835 0 -1.83353
0.146447 0.109835 0 -1.60428
0.109835 0.146447 0 -1.60428
0.146447 0.146447 0 -1.42499
0.183058 0.0366117 0 -1.57442
0.21967 0.0366117 0 -1.31679
0.183058 0.0732233 0 -1.49571
0.21967 0.0732233 0 -1.2609
0.256282 0.0366117 0 -1.1015
0.292893 0.0366117 0 -0.924635
0.256282 0.0732233 0 -1.0618
0.292893 0.0732233 0 -0.896164
0.183058 0.109835 0 -1.38016
0.21967 0.109835 0 -1.17724
0.183058 0.146447 0 -1.24466
0.21967 0.146447 0 -1.07655
0.256282 0.109835 0 -1.0013
0.292893 0.109835 0 -0.852032
0.256282 0.146447 0 -0.926732
0.292893 0.146447 0 -0.796527
0.0366117 0.183058 0 -1.57442
0.0732233 0.183058 0 -1.49571
0.0366117 0.21967 0 -1.31679
0.0732233 0.21967 0 -1.2609
0.109835 0.183058 0 -1.38016
0.146447 0.183058 0 -1.24466
0.109835 0.21967 0 -1.17724
0.146447 0.21967 0 -1.07655
0.0366117 0.256282 0 -1.1015
0.0732233 0.256282 0 -1.0618
0.0366117 0.292893 0 -0.924635
0.0732233 0.292893 0 -0.896164
0.109835 0.256282 0 -1.0013
0.146447 0.256282 0 -0.926732
0.109835 0.292893 0 -0.852032
0.146447 0.292893 0 -0.796527
0.183058 0.183058 0 -1.10414
0.21967 0.183058 0 -0.968978
0.183058 0.21967 0 -0.968978
0.21967 0.21967 0 -0.862306
0.256282 0.183058 0 -0.844904
0.292893 0.183058 0 -0.734199
0.256282 0.21967 0 -0.761492
0.292893 0.21967 0 -0.669136
0.183058 0.256282 0 -0.844904
0.21967 0.256282 0 -0.761492
0.183058 0.292893 0 -0.734199
0.21967 0.292893 0 -0.669136
0.256282 0.256282 0 -0.680619
0.292893 0.256282 0 -0.604611
0.256282 0.292893 0 -0.604611
0.292893 0.292893 0 -0.543446
0.77301 -0.634393 0 -0.113643
0.738778 -0.607969 0 -0.114876
0.83147 -0.55557 0 -0.113565
0.792615 -0.531665 0 -0.114941
0.704546 -0.581544 0 -0.118712
0.753761 -0.507759 0 -0.11921
0.881921 -0.471397 0 -0.113484
0.838455 -0.450016 0 -0.115037
0.92388 -0.382683 0 -0.113468
0.880048 -0.366098 0 -0.114923
0.794988 -0.428636 0 -0.119881
0.836215 -0.349513 0 -0.119437
0.672174 -0.556647 0 -0.124916
0.714907 -0.483853 0 -0.126642
0.639803 -0.53175 0 -0.133869
0.676052 -0.459948 0 -0.137624
0.753645 -0.40839 0 -0.127829
0.792383 -0.332927 0 -0.127299
0.712302 -0.388145 0 -0.139429
0.748551 -0.316342 0 -0.13892
0.95694 -0.290285 0 -0.113389
0.908358 -0.276678 0 -0.115076
0.980785 -0.19509 0 -0.113383
0.932061 -0.18586 0 -0.115013
0.859776 -0.263072 0 -0.120344
0.883336 -0.176631 0 -0.120086
0.995185 -0.0980171 0 -0.113395
0.946329 -0.0931662 0 -0.114991
1 -1.21169e-16 0 -0.113467
0.955806 -1.13596e-16 0 -0.114759
0.897474 -0.0883153 0 -0.119973
0.911612 -1.06023e-16 0 -0.118762
0.813498 -0.250164 0 -0.129034
0.834612 -0.167401 0 -0.128964
0.767219 -0.237256 0 -0.141768
0.785887 -0.158171 0 -0.14218
0.851015 -0.0837004 0 -0.128161
0.867417 -9.84497e-17 0 -0.12571
0.804555 -0.0790854 0 -0.140122
0.823223 -9.08766e-17 0 -0.135932
0.609429 -0.508188 0 -0.145121
0.641192 -0.438711 0 -0.150854
0.579054 -0.484625 0 -0.159469
0.606332 -0.417474 0 -0.167766
0.672956 -0.369233 0 -0.154288
0.704719 -0.299756 0 -0.154867
0.63361 -0.350322 0 -0.17351
0.660887 -0.283171 0 -0.175892
0.54868 -0.461063 0 -0.177354
0.571472 -0.396237 0 -0.18895
0.518306 -0.4375 0 -0.199327
0.536612 -0.375 0 -0.215143
0.594264 -0.331411 0 -0.197861
0.617055 -0.266585 0 -0.202964
0.554917 -0.3125 0 -0.228315
0.573223 -0.25 0 -0.237371
0.723297 -0.224817 0 -0.158207
0.741874 -0.149878 0 -0.158419
0.679374 -0.212378 0 -0.179607
0.697861 -0.141585 0 -0.179428
0.760452 -0.0749391 0 -0.155486
0.779029 -8.33036e-17 0 -0.149875
0.716348 -0.0707927 0 -0.175401
0.734835 -7.57305e-17 0 -0.168122
0.635452 -0.199939 0 -0.206907
0.653848 -0.133293 0 -0.206098
0.591529 -0.1875 0 -0.241318
0.609835 -0.125 0 -0.23957
0.672244 -0.0666464 0 -0.200683
0.690641 -6.81575e-17 0 -0.191409
0.628141 -0.0625 0 -0.232383
0.646447 -6.05844e-17 0 -0.220677
0.995185 0.0980171 0 -0.113395
0.946329 0.0931662 0 -0.114991
0.980785 0.19509 0 -0.113383
0.932061 0.18586 0 -0.115013
0.897474 0.0883153 0 -0.119973
0.883336 0.176631 0 -0.120086
0.95694 0.290285 0 -0.113389
0.908358 0.276678 0 -0.115076
0.92388 0.382683 0 -0.113468
0.880048 0.366098 0 -0.114923
0.859776 0.263072 0 -0.120344
0.836215 0.349513 0 -0.119437
0.851015 0.0837004 0 -0.128161
0.834612 0.167401 0 -0.128964
0.804555 0.0790854 0 -0.140122
0.785887 0.158171 0 -0.14218
0.813498 0.250164 0 -0.129034
0.792383 0.332927 0 -0.127299
0.767219 0.237256 0 -0.141768
0.748551 0.316342 0 -0.13892
0.881921 0.471397 0 -0.113484
0.838455 0.450016 0 -0.115037
0.83147 0.55557 0 -0.113565
0.792615 0.531665 0 -0.114941
0.794988 0.428636 0 -0.119881
0.753761 0.507759 0 -0.11921
0.77301 0.634393 0 -0.113643
0.738778 0.607969 0 -0.114876
0.707107 0.707107 0 -0.113743
0.681218 0.681218 0 -0.114623
0.704546 0.581544 0 -0.118712
0.65533 0.65533 0 -0.117338
0.753645 0.40839 0 -0.127829
0.714907 0.483853 0 -0.126642
0.712302 0.388145 0 -0.139429
0.676052 0.459948 0 -0.137624
0.672174 0.556647 0 -0.124916
0.629442 0.629442 0 -0.122014
0.639803 0.53175 0 -0.133869
0.603553 0.603553 0 -0.128812
0.760452 0.0749391 0 -0.155486
0.741874 0.149878 0 -0.158419
0.716348 0.0707927 0 -0.175401
0.697861 0.141585 0 -0.179428
0.723297 0.224817 0 -0.158207
0.704719 0.299756 0 -0.154867
0.679374 0.212378 0 -0.179607
0.660887 0.283171 0 -0.175892
0.672244 0.0666464 0 -0.200683
0.653848 0.133293 0 -0.206098
0.628141 0.0625 0 -0.232383
0.609835 0.125 0 -0.23957
0.635452 0.199939 0 -0.206907
0.617055 0.266585 0 -0.202964
0.591529 0.1875 0 -0.241318
0.573223 0.25 0 -0.237371
0.672956 0.369233 0 -0.154288
0.641192 0.438711 0 -0.150854
0.63361 0.350322 0 -0.17351
0.606332 0.417474 0 -0.167766
0.609429 0.508188 0 -0.145121
0.577665 0.577665 0 -0.137952
0.579054 0.484625 0 -0.159469
0.551777 0.551777 0 -0.149696
0.594264 0.331411 0 -0.197861
0.571472 0.396237 0 -0.18895
0.554917 0.3125 0 -0.228315
0.536612 0.375 0 -0.215143
0.54868 0.461063 0 -0.177354
0.525888 0.525888 0 -0.164377
0.518306 0.4375 0 -0.199327
0.5 0.5 0 -0.182407
0.490129 -0.414848 0 -0.224369
0.506147 -0.355584 0 -0.24329
0.461953 -0.392195 0 -0.254356
0.475682 -0.336167 0 -0.276911
0.522164 -0.29632 0 -0.259412
0.538182 -0.237056 0 -0.2711
0.489411 -0.28014 0 -0.296578
0.503141 -0.224112 0 -0.311509
0.433776 -0.369543 0 -0.29016
0.445217 -0.316751 0 -0.316993
0.4056 -0.346891 0 -0.332854
0.414752 -0.297335 0 -0.364757
0.456658 -0.263959 0 -0.340934
0.4681 -0.211167 0 -0.359912
0.423905 -0.247779 0 -0.393883
0.433058 -0.198223 0 -0.417931
0.5542 -0.177792 0 -0.277045
0.570217 -0.118528 0 -0.276528
0.51687 -0.168084 0 -0.320126
0.5306 -0.112056 0 -0.321447
0.586235 -0.059264 0 -0.269625
0.602252 -5.30114e-17 0 -0.257186
0.544329 -0.0560279 0 -0.315334
0.558058 -4.54383e-17 0 -0.302524
0.479541 -0.158376 0 -0.372044
0.490982 -0.105584 0 -0.376015
0.442211 -0.148667 0 -0.434679
0.451364 -0.0991117 0 -0.442389
0.502423 -0.0527919 0 -0.371389
0.513864 -3.78653e-17 0 -0.358722
0.460517 -0.0495558 0 -0.440217
0.46967 -3.02922e-17 0 -0.428438
0.377423 -0.324238 0 -0.383778
0.384288 -0.277919 0 -0.421723
0.349246 -0.301586 0 -0.444625
0.353823 -0.258502 0 -0.489788
0.391152 -0.231599 0 -0.45717
0.398017 -0.185279 0 -0.487608
0.358399 -0.215419 0 -0.53298
0.362976 -0.172335 0 -0.571542
0.32107 -0.278934 0 -0.517547
0.323358 -0.239086 0 -0.571232
0.325646 -0.199238 0 -0.624117
0.327934 -0.159391 0 -0.673075
0.404882 -0.138959 0 -0.510424
0.411746 -0.0926396 0 -0.523347
0.367552 -0.129251 0 -0.602361
0.372129 -0.0861675 0 -0.622524
0.418611 -0.0463198 0 -0.524987
0.425476 -2.27192e-17 0 -0.51519
0.376705 -0.0430837 0 -0.629906
0.381282 -1.51461e-17 0 -0.623705
0.330223 -0.119543 0 -0.714497
0.332511 -0.0796954 0 -0.744707
0.334799 -0.0398477 0 -0.760626
0.337087 -7.57305e-18 0 -0.76043
0.586235 0.059264 0 -0.269625
0.570217 0.118528 0 -0.276528
0.544329 0.0560279 0 -0.315334
0.5306 0.112056 0 -0.321447
0.5542 0.177792 0 -0.277045
0.538182 0.237056 0 -0.2711
0.51687 0.168084 0 -0.320126
0.503141 0.224112 0 -0.311509
0.502423 0.0527919 0 -0.371389
0.490982 0.105584 0 -0.376015
0.460517 0.0495558 0 -0.440217
0.451364 0.0991117 0 -0.442389
0.479541 0.158376 0 -0.372044
0.4681 0.211167 0 -0.359912
0.442211 0.148667 0 -0.434679
0.433058 0.198223 0 -0.417931
0.522164 0.29632 0 -0.259412
0.506147 0.355584 0 -0.24329
0.489411 0.28014 0 -0.296578
0.475682 0.336167 0 -0.276911
0.490129 0.414848 0 -0.224369
0.474112 0.474112 0 -0.204318
0.461953 0.392195 0 -0.254356
0.448223 0.448223 0 -0.23072
0.456658 0.263959 0 -0.340934
0.445217 0.316751 0 -0.316993
0.423905 0.247779 0 -0.393883
0.414752 0.297335 0 -0.364757
0.433776 0.369543 0 -0.29016
0.422335 0.422335 0 -0.262383
0.4056 0.346891 0 -0.332854
0.396447 0.396447 0 -0.30026
0.418611 0.0463198 0 -0.524987
0.411746 0.0926396 0 -0.523347
0.376705 0.0430837 0 -0.629906
0.372129 0.0861675 0 -0.622524
0.404882 0.138959 0 -0.510424
0.398017 0.185279 0 -0.487608
0.367552 0.129251 0 -0.602361
0.362976 0.172335 0 -0.571542
0.334799 0.0398477 0 -0.760626
0.332511 0.0796954 0 -0.744707
0.330223 0.119543 0 -0.714497
0.327934 0.159391 0 -0.673075
0.391152 0.231599 0 -0.45717
0.384288 0.277919 0 -0.421723
0.358399 0.215419 0 -0.53298
0.353823 0.258502 0 -0.489788
0.377423 0.324238 0 -0.383778
0.370558 0.370558 0 -0.345535
0.349246 0.301586 0 -0.444625
0.34467 0.34467 0 -0.3997
0.325646 0.199238 0 -0.624117
0.323358 0.239086 0 -0.571232
0.32107 0.278934 0 -0.517547
0.318782 0.318782 0 -0.464698
-0.634393 0.77301 0 -0.113643
-0.607969 0.738778 0 -0.114876
-0.581544 0.704546 0 -0.118712
-0.55557 0.83147 0 -0.113565
-0.531665 0.792615 0 -0.114941
-0.507759 0.753761 0 -0.11921
-0.556647 0.672174 0 -0.124916
-0.53175 0.639803 0 -0.133869
-0.483853 0.714907 0 -0.126642
-0.459948 0.676052 0 -0.137624
-0.471397 0.881921 0 -0.113484
-0.450016 0.838455 0 -0.115037
-0.428636 0.794988 0 -0.119881
-0.382683 0.92388 0 -0.113468
-0.366098 0.880048 0 -0.114923
-0.349513 0.836215 0 -0.119437
-0.40839 0.753645 0 -0.127829
-0.388145 0.712302 0 -0.139429
-0.332927 0.792383 0 -0.127299
-0.316342 0.748551 0 -0.13892
-0.508188 0.609429 0 -0.145121
-0.484625 0.579054 0 -0.159469
-0.438711 0.641192 0 -0.150854
-0.417474 0.606332 0 -0.167766
-0.461063 0.54868 0 -0.177354
-0.4375 0.518306 0 -0.199327
-0.396237 0.571472 0 -0.18895
-0.375 0.536612 0 -0.215143
-0.369233 0.672956 0 -0.154288
-0.350322 0.63361 0 -0.17351
-0.299756 0.704719 0 -0.154867
-0.283171 0.660887 0 -0.175892
-0.331411 0.594264 0 -0.197861
-0.3125 0.554917 0 -0.228315
-0.266585 0.617055 0 -0.202964
-0.25 0.573223 0 -0.237371
-0.290285 0.95694 0 -0.113389
-0.276678 0.908358 0 -0.115076
-0.263072 0.859776 0 -0.120344
-0.19509 0.980785 0 -0.113383
-0.18586 0.932061 0 -0.115013
-0.176631 0.883336 0 -0.120086
-0.250164 0.813498 0 -0.129034
-0.237256 0.767219 0 -0.141768
-0.167401 0.834612 0 -0.128964
-0.158171 0.785887 0 -0.14218
-0.0980171 0.995185 0 -0.113395
-0.0931662 0.946329 0 -0.114991
-0.0883153 0.897474 0 -0.119973
-1.21169e-16 1 0 -0.113467
-1.12962e-16 0.955806 0 -0.114759
-1.04754e-16 0.911612 0 -0.118762
-0.0837004 0.851015 0 -0.128161
-0.0790854 0.804555 0 -0.140122
-9.65472e-17 0.867417 0 -0.12571
-8.834e-17 0.823223 0 -0.135932
-0.224817 0.723297 0 -0.158207
-0.212378 0.679374 0 -0.179607
-0.149878 0.741874 0 -0.158419
-0.141585 0.697861 0 -0.179428
-0.199939 0.635452 0 -0.206907
-0.1875 0.591529 0 -0.241318
-0.133293 0.653848 0 -0.206098
-0.125 0.609835 0 -0.23957
-0.0749391 0.760452 0 -0.155486
-0.0707927 0.716348 0 -0.175401
-8.01328e-17 0.779029 0 -0.149875
-7.19256e-17 0.734835 0 -0.168122
-0.0666464 0.672244 0 -0.200683
-0.0625 0.628141 0 -0.232383
-6.37184e-17 0.690641 0 -0.191409
-5.55112e-17 0.646447 0 -0.220677
-0.414848 0.490129 0 -0.224369
-0.392195 0.461953 0 -0.254356
-0.355584 0.506147 0 -0.24329
-0.336167 0.475682 0 -0.276911
-0.369543 0.433776 0 -0.29016
-0.346891 0.4056 0 -0.332854
-0.316751 0.445217 0 -0.316993
-0.297335 0.414752 0 -0.364757
-0.29632 0.522164 0 -0.259412
-0.28014 0.489411 0 -0.296578
-0.237056 0.538182 0 -0.2711
-0.224112 0.503141 0 -0.311509
-0.263959 0.456658 0 -0.340934
-0.247779 0.423905 0 -0.393883
-0.211167 0.4681 0 -0.359912
-0.198223 0.433058 0 -0.417931
-0.324238 0.377423 0 -0.383778
-0.301586 0.349246 0 -0.444625
-0.277919 0.384288 0 -0.421723
-0.258502 0.353823 0 -0.489788
-0.278934 0.32107 0 -0.517547
-0.239086 0.323358 0 -0.571232
-0.231599 0.391152 0 -0.45717
-0.215419 0.358399 0 -0.53298
-0.185279 0.398017 0 -0.487608
-0.172335 0.362976 0 -0.571542
-0.199238 0.325646 0 -0.624117
-0.159391 0.327934 0 -0.673075
-0.177792 0.5542 0 -0.277045
-0.168084 0.51687 0 -0.320126
-0.118528 0.570217 0 -0.276528
-0.112056 0.5306 0 -0.321447
-0.158376 0.479541 0 -0.372044
-0.148667 0.442211 0 -0.434679
-0.105584 0.490982 0 -0.376015
-0.0991117 0.451364 0 -0.442389
-0.059264 0.586235 0 -0.269625
-0.0560279 0.544329 0 -0.315334
-4.85723e-17 0.602252 0 -0.257186
-4.16334e-17 0.558058 0 -0.302524
-0.0527919 0.502423 0 -0.371389
-0.0495558 0.460517 0 -0.440217
-3.46945e-17 0.513864 0 -0.358722
-2.77556e-17 0.46967 0 -0.428438
-0.138959 0.404882 0 -0.510424
-0.129251 0.367552 0 -0.602361
-0.0926396 0.411746 0 -0.523347
-0.0861675 0.372129 0 -0.622524
-0.119543 0.330223 0 -0.714497
-0.0796954 0.332511 0 -0.744707
-0.0463198 0.418611 0 -0.524987
-0.0430837 0.376705 0 -0.629906
-2.08167e-17 0.425476 0 -0.51519
-1.38778e-17 0.381282 0 -0.623705
-0.0398477 0.334799 0 -0.760626
-6.93889e-18 0.337087 0 -0.76043
0.0980171 0.995185 0 -0.113395
0.0931662 0.946329 0 -0.114991
0.0883153 0.897474 0 -0.119973
0.19509 0.980785 0 -0.113383
0.18586 0.932061 0 -0.115013
0.176631 0.883336 0 -0.120086
0.0837004 0.851015 0 -0.128161
0.0790854 0.804555 0 -0.140122
0.167401 0.834612 0 -0.128964
0.158171 0.785887 0 -0.14218
0.290285 0.95694 0 -0.113389
0.276678 0.908358 0 -0.115076
0.263072 0.859776 0 -0.120344
0.382683 0.92388 0 -0.113468
0.366098 0.880048 0 -0.114923
0.349513 0.836215 0 -0.119437
0.250164 0.813498 0 -0.129034
0.237256 0.767219 0 -0.141768
0.332927 0.792383 0 -0.127299
0.316342 0.748551 0 -0.13892
0.0749391 0.760452 0 -0.155486
0.0707927 0.716348 0 -0.175401
0.149878 0.741874 0 -0.158419
0.141585 0.697861 0 -0.179428
0.0666464 0.672244 0 -0.200683
0.0625 0.628141 0 -0.232383
0.133293 0.653848 0 -0.206098
0.125 0.609835 0 -0.23957
0.224817 0.723297 0 -0.158207
0.212378 0.679374 0 -0.179607
0.299756 0.704719 0 -0.154867
0.283171 0.660887 0 -0.175892
0.199939 0.635452 0 -0.206907
0.1875 0.591529 0 -0.241318
0.266585 0.617055 0 -0.202964
0.25 0.573223 0 -0.237371
0.471397 0.881921 0 -0.113484
0.450016 0.838455 0 -0.115037
0.428636 0.794988 0 -0.119881
0.55557 0.83147 0 -0.113565
0.531665 0.792615 0 -0.114941
0.507759 0.753761 0 -0.11921
0.40839 0.753645 0 -0.127829
0.388145 0.712302 0 -0.139429
0.483853 0.714907 0 -0.126642
0.459948 0.676052 0 -0.137624
0.634393 0.77301 0 -0.113643
0.607969 0.738778 0 -0.114876
0.581544 0.704546 0 -0.118712
0.556647 0.672174 0 -0.124916
0.53175 0.639803 0 -0.133869
0.369233 0.672956 0 -0.154288
0.350322 0.63361 0 -0.17351
0.438711 0.641192 0 -0.150854
0.417474 0.606332 0 -0.167766
0.331411 0.594264 0 -0.197861
0.3125 0.554917 0 -0.228315
0.396237 0.571472 0 -0.18895
0.375 0.536612 0 -0.215143
0.508188 0.609429 0 -0.145121
0.484625 0.579054 0 -0.159469
0.461063 0.54868 0 -0.177354
0.4375 0.518306 0 -0.199327
0.059264 0.586235 0 -0.269625
0.0560279 0.544329 0 -0.315334
0.118528 0.570217 0 -0.276528
0.112056 0.5306 0 -0.321447
0.0527919 0.502423 0 -0.371389
0.0495558 0.460517 0 -0.440217
0.105584 0.490982 0 -0.376015
0.0991117 0.451364 0 -0.442389
0.177792 0.5542 0 -0.277045
0.168084 0.51687 0 -0.320126
0.237056 0.538182 0 -0.2711
0.224112 0.503141 0 -0.311509
0.158376 0.479541 0 -0.372044
0.148667 0.442211 0 -0.434679
0.211167 0.4681 0 -0.359912
0.198223 0.433058 0 -0.417931
0.0463198 0.418611 0 -0.524987
0.0430837 0.376705 0 -0.629906
0.0926396 0.411746 0 -0.523347
0.0861675 0.372129 0 -0.622524
0.0398477 0.334799 0 -0.760626
0.0796954 0.332511 0 -0.744707
0.138959 0.404882 0 -0.510424
0.129251 0.367552 0 -0.602361
0.185279 0.398017 0 -0.487608
0.172335 0.362976 0 -0.571542
0.119543 0.330223 0 -0.714497
0.159391 0.327934 0 -0.673075
0.29632 0.522164 0 -0.259412
0.28014 0.489411 0 -0.296578
0.355584 0.506147 0 -0.24329
0.336167 0.475682 0 -0.276911
0.263959 0.456658 0 -0.340934
0.247779 0.423905 0 -0.393883
0.316751 0.445217 0 -0.316993
0.297335 0.414752 0 -0.364757
0.414848 0.490129 0 -0.224369
0.392195 0.461953 0 -0.254356
0.369543 0.433776 0 -0.29016
0.346891 0.4056 0 -0.332854
0.231599 0.391152 0 -0.45717
0.215419 0.358399 0 -0.53298
0.277919 0.384288 0 -0.421723
0.258502 0.353823 0 -0.489788
0.199238 0.325646 0 -0.624117
0.239086 0.323358 0 -0.571232
0.324238 0.377423 0 -0.383778
0.301586 0.349246 0 -0.444625
0.278934 0.32107 0 -0.517547
